"","date","StationNo","HomeTeam","AwayTeam","Season","Round","Description","Rainfall","RainfallBand"
"2199","28/03/2003",86038,"Collingwood","Richmond",2003,"1","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2251","29/03/2003",86038,"North Melbourne","St Kilda",2003,"1","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"244","29/03/2003",9225,"West Coast","Port Adelaide",2003,"1","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1190","29/03/2003",66212,"Sydney","Carlton",2003,"1","  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y",NA,"No Rainfall Data Available"
"940","29/03/2003",40913,"Brisbane Lions","Essendon",2003,"1","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2355","30/03/2003",86038,"Western Bulldogs","Geelong",2003,"1","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2356","30/03/2003",86038,"Melbourne","Hawthorn",2003,"1","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"564","30/03/2003",23034,"Adelaide","Fremantle",2003,"1","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2446","4/04/2003",86038,"Carlton","Collingwood",2003,"2","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2495","5/04/2003",86038,"St Kilda","Adelaide",2003,"2","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2496","5/04/2003",86038,"Essendon","Melbourne",2003,"2","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"297","5/04/2003",9225,"Fremantle","Sydney",2003,"2","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"588","5/04/2003",23034,"Port Adelaide","Brisbane Lions",2003,"2","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2902","6/04/2003",91237,"Hawthorn","West Coast",2003,"2","  91237 LAUNCESTON (TI TREE BEND)                -41.4194  147.1219 May 1980 Apr 2017   37.0  100   Y",NA,"No Rainfall Data Available"
"2543","6/04/2003",86038,"Richmond","Western Bulldogs",2003,"2","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2836","6/04/2003",87184,"Geelong","North Melbourne",2003,"2","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"1361","11/04/2003",86038,"Essendon","Carlton",2003,"3","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1407","12/04/2003",86038,"Collingwood","Geelong",2003,"3","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"34","12/04/2003",9225,"West Coast","St Kilda",2003,"3","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1406","12/04/2003",86038,"North Melbourne","Brisbane Lions",2003,"3","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"403","12/04/2003",23034,"Port Adelaide","Hawthorn",2003,"3","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1011","13/04/2003",66062,"Sydney","Adelaide",2003,"3","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"1451","13/04/2003",86038,"Melbourne","Western Bulldogs",2003,"3","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1452","13/04/2003",86038,"Richmond","Fremantle",2003,"3","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"857","17/04/2003",40913,"Brisbane Lions","Collingwood",2003,"4","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2770","19/04/2003",87184,"Geelong","Melbourne",2003,"4","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"1729","19/04/2003",86038,"Western Bulldogs","Essendon",2003,"4","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1730","19/04/2003",86038,"Hawthorn","Sydney",2003,"4","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"476","20/04/2003",23034,"Adelaide","West Coast",2003,"4","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1817","20/04/2003",86038,"Carlton","Port Adelaide",2003,"4","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"140","20/04/2003",9225,"Fremantle","North Melbourne",2003,"4","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1863","21/04/2003",86038,"St Kilda","Richmond",2003,"4","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2055","25/04/2003",86038,"Essendon","Collingwood",2003,"5","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1066","25/04/2003",66062,"Sydney","Melbourne",2003,"5","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"2111","26/04/2003",86038,"Hawthorn","Richmond",2003,"5","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2110","26/04/2003",86038,"North Melbourne","Carlton",2003,"5","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"520","26/04/2003",23034,"Adelaide","Port Adelaide",2003,"5","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"924","27/04/2003",40913,"Brisbane Lions","Western Bulldogs",2003,"5","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2156","27/04/2003",86038,"St Kilda","Geelong",2003,"5","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"224","27/04/2003",9225,"Fremantle","West Coast",2003,"5","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1779","2/05/2003",86038,"North Melbourne","Adelaide",2003,"6","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2311","3/05/2003",86038,"Carlton","Hawthorn",2003,"6","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2310","3/05/2003",86038,"Melbourne","West Coast",2003,"6","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2309","3/05/2003",86038,"Collingwood","Sydney",2003,"6","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"557","3/05/2003",23034,"Port Adelaide","Richmond",2003,"6","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2457","4/05/2003",86038,"Western Bulldogs","St Kilda",2003,"6","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2828","4/05/2003",87184,"Geelong","Brisbane Lions",2003,"6","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"288","4/05/2003",9225,"Fremantle","Essendon",2003,"6","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2695","9/05/2003",86038,"Hawthorn","North Melbourne",2003,"7","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1327","10/05/2003",86038,"Richmond","Essendon",2003,"7","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"14","10/05/2003",9225,"West Coast","Geelong",2003,"7","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1326","10/05/2003",86038,"St Kilda","Carlton",2003,"7","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"384","10/05/2003",23034,"Adelaide","Collingwood",2003,"7","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1003","11/05/2003",66062,"Sydney","Brisbane Lions",2003,"7","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"1371","11/05/2003",86038,"Western Bulldogs","Fremantle",2003,"7","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1372","11/05/2003",86038,"Melbourne","Port Adelaide",2003,"7","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1602","16/05/2003",86038,"Hawthorn","Essendon",2003,"8","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1649","17/05/2003",86038,"Collingwood","West Coast",2003,"8","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"444","17/05/2003",23034,"Port Adelaide","North Melbourne",2003,"8","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"862","17/05/2003",40913,"Brisbane Lions","Adelaide",2003,"8","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1650","17/05/2003",86038,"Richmond","Melbourne",2003,"8","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1030","18/05/2003",66062,"Sydney","Geelong",2003,"8","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"1695","18/05/2003",86038,"Carlton","Western Bulldogs",2003,"8","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"105","18/05/2003",9225,"Fremantle","St Kilda",2003,"8","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1961","23/05/2003",86038,"Essendon","Port Adelaide",2003,"9","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2013","24/05/2003",86038,"Carlton","Brisbane Lions",2003,"9","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2012","24/05/2003",86038,"Melbourne","Fremantle",2003,"9","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2011","24/05/2003",86038,"Collingwood","St Kilda",2003,"9","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"185","24/05/2003",9225,"West Coast","Richmond",2003,"9","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2071","25/05/2003",86038,"Geelong","Hawthorn",2003,"9","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1241","25/05/2003",70351,"North Melbourne","Sydney",2003,"9","  70351 CANBERRA AIRPORT                         -35.3088  149.2004 Sep 2008 Apr 2017    8.7   98   Y",NA,"No Rainfall Data Available"
"513","25/05/2003",23034,"Adelaide","Western Bulldogs",2003,"9","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"567","30/05/2003",23034,"Port Adelaide","Collingwood",2003,"10","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2419","31/05/2003",86038,"Western Bulldogs","North Melbourne",2003,"10","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"283","31/05/2003",9225,"Fremantle","Carlton",2003,"10","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"954","31/05/2003",40913,"Melbourne","Brisbane Lions",2003,"10","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2420","31/05/2003",86038,"Richmond","Sydney",2003,"10","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2736","1/06/2003",87184,"Geelong","Adelaide",2003,"10","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"1283","1/06/2003",86038,"Essendon","West Coast",2003,"10","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1284","1/06/2003",86038,"St Kilda","Hawthorn",2003,"10","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2559","6/06/2003",86038,"North Melbourne","Richmond",2003,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2608","7/06/2003",86038,"Hawthorn","Adelaide",2003,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2607","7/06/2003",86038,"St Kilda","Brisbane Lions",2003,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1216","7/06/2003",66212,"Sydney","Essendon",2003,"11","  66212 SYDNEY OLYMPIC PARK AWS (ARCHERY CENTRE) -33.8338  151.0718 Sep 2011 Apr 2017    5.7   99   Y",NA,"No Rainfall Data Available"
"2651","8/06/2003",86038,"Geelong","Carlton",2003,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"616","8/06/2003",23034,"Port Adelaide","Fremantle",2003,"11","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"337","8/06/2003",9225,"West Coast","Western Bulldogs",2003,"11","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2703","9/06/2003",86038,"Melbourne","Collingwood",2003,"11","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1470","13/06/2003",86038,"Essendon","North Melbourne",2003,"12","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2860","14/06/2003",91237,"St Kilda","Port Adelaide",2003,"12","  91237 LAUNCESTON (TI TREE BEND)                -41.4194  147.1219 May 1980 Apr 2017   37.0  100   Y",NA,"No Rainfall Data Available"
"1522","14/06/2003",86038,"Richmond","Carlton",2003,"12","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1014","14/06/2003",66062,"Western Bulldogs","Sydney",2003,"12","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"63","14/06/2003",9225,"Fremantle","Geelong",2003,"12","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"849","15/06/2003",40913,"Brisbane Lions","West Coast",2003,"12","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1568","15/06/2003",86038,"Collingwood","Hawthorn",2003,"12","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"429","15/06/2003",23034,"Adelaide","Melbourne",2003,"12","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2172","27/06/2003",86038,"Essendon","Geelong",2003,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2226","28/06/2003",86038,"Melbourne","St Kilda",2003,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"538","28/06/2003",23034,"Port Adelaide","Sydney",2003,"13","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2225","28/06/2003",86038,"Western Bulldogs","Collingwood",2003,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"936","28/06/2003",40913,"Brisbane Lions","Richmond",2003,"13","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2890","29/06/2003",91237,"Hawthorn","Fremantle",2003,"13","  91237 LAUNCESTON (TI TREE BEND)                -41.4194  147.1219 May 1980 Apr 2017   37.0  100   Y",NA,"No Rainfall Data Available"
"2273","29/06/2003",86038,"Carlton","Adelaide",2003,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"254","29/06/2003",9225,"West Coast","North Melbourne",2003,"13","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2475","4/07/2003",86038,"St Kilda","Essendon",2003,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2524","5/07/2003",86038,"Hawthorn","Western Bulldogs",2003,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"306","5/07/2003",9225,"Fremantle","Brisbane Lions",2003,"14","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"2523","5/07/2003",86038,"North Melbourne","Collingwood",2003,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"593","5/07/2003",23034,"Adelaide","Richmond",2003,"14","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1104","6/07/2003",66062,"Sydney","West Coast",2003,"14","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"2568","6/07/2003",86038,"Carlton","Melbourne",2003,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2838","6/07/2003",87184,"Geelong","Port Adelaide",2003,"14","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"397","11/07/2003",23034,"Adelaide","Essendon",2003,"15","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1433","12/07/2003",86038,"Collingwood","Fremantle",2003,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1432","12/07/2003",86038,"Richmond","Geelong",2003,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1008","12/07/2003",66062,"Sydney","St Kilda",2003,"15","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"40","12/07/2003",9225,"West Coast","Carlton",2003,"15","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"838","13/07/2003",40913,"Brisbane Lions","Hawthorn",2003,"15","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1481","13/07/2003",86038,"Western Bulldogs","Port Adelaide",2003,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1482","13/07/2003",86038,"North Melbourne","Melbourne",2003,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1709","18/07/2003",86038,"Richmond","Collingwood",2003,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1751","19/07/2003",86038,"Carlton","Sydney",2003,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1750","19/07/2003",86038,"Hawthorn","Melbourne",2003,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1749","19/07/2003",86038,"Essendon","Brisbane Lions",2003,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"460","19/07/2003",23034,"Port Adelaide","West Coast",2003,"16","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"2783","20/07/2003",87184,"Geelong","Western Bulldogs",2003,"16","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"1841","20/07/2003",86038,"St Kilda","North Melbourne",2003,"16","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"147","20/07/2003",9225,"Fremantle","Adelaide",2003,"16","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"207","25/07/2003",9225,"West Coast","Hawthorn",2003,"17","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1243","26/07/2003",70351,"North Melbourne","Geelong",2003,"17","  70351 CANBERRA AIRPORT                         -35.3088  149.2004 Sep 2008 Apr 2017    8.7   98   Y",NA,"No Rainfall Data Available"
"2131","26/07/2003",86038,"Melbourne","Essendon",2003,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2130","26/07/2003",86038,"Western Bulldogs","Richmond",2003,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"919","26/07/2003",40913,"Brisbane Lions","Port Adelaide",2003,"17","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"1075","27/07/2003",66062,"Sydney","Fremantle",2003,"17","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"2178","27/07/2003",86038,"Collingwood","Carlton",2003,"17","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"532","27/07/2003",23034,"Adelaide","St Kilda",2003,"17","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1301","1/08/2003",86038,"Western Bulldogs","Melbourne",2003,"18","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1802","2/08/2003",86038,"Carlton","Essendon",2003,"18","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"135","2/08/2003",9225,"Fremantle","Richmond",2003,"18","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
