"","date","StationNo","HomeTeam","AwayTeam","Season","Round","Description","Rainfall","RainfallBand"
"2274","29/06/2007",86038,"Essendon","Melbourne",2007,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2821","30/06/2007",87184,"Geelong","Sydney",2007,"13","  87184 BREAKWATER (GEELONG RACECOURSE)          -38.1737  144.3765 Jun 2011 Apr 2017    5.9   97   Y",NA,"No Rainfall Data Available"
"272","30/06/2007",9225,"Fremantle","Carlton",2007,"13","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"951","30/06/2007",40913,"Brisbane Lions","Port Adelaide",2007,"13","  40913 BRISBANE                                 -27.4808  153.0389 Dec 1999 Apr 2017   17.4   99   Y",NA,"No Rainfall Data Available"
"2385","30/06/2007",86038,"St Kilda","Richmond",2007,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"379","1/07/2007",23034,"Adelaide","West Coast",2007,"13","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"1295","1/07/2007",86038,"North Melbourne","Western Bulldogs",2007,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"1294","1/07/2007",86038,"Collingwood","Hawthorn",2007,"13","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2569","6/07/2007",86038,"Essendon","Geelong",2007,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"2617","7/07/2007",86038,"Collingwood","St Kilda",2007,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2616","7/07/2007",86038,"Western Bulldogs","Port Adelaide",2007,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"609","7/07/2007",23034,"Adelaide","Hawthorn",2007,"14","  23034 ADELAIDE AIRPORT                         -34.9524  138.5196 Mar 1955 Apr 2017   62.2  100   Y",NA,"No Rainfall Data Available"
"327","7/07/2007",9225,"West Coast","Brisbane Lions",2007,"14","   9225 PERTH METRO                              -31.9192  115.8728 Feb 1993 Apr 2017   24.2   99   Y",NA,"No Rainfall Data Available"
"1114","8/07/2007",66062,"Sydney","Fremantle",2007,"14","  66062 SYDNEY (OBSERVATORY HILL)                -33.8607  151.2050 Jul 1858 Apr 2017  158.8  100   Y",NA,"No Rainfall Data Available"
"2662","8/07/2007",86038,"Carlton","Melbourne",2007,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
"2661","8/07/2007",86038,"Richmond","North Melbourne",2007,"14","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1483","13/07/2007",86038,"St Kilda","Adelaide",2007,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",0,"[0,0.01]"
"1532","14/07/2007",86038,"Geelong","Collingwood",2007,"15","  86038 ESSENDON AIRPORT                         -37.7276  144.9066 Nov 1929 Apr 2017   62.6   71   Y",NA,"No Rainfall Data Available"
