,Playing.for,First.name,Surname,ID,Name
4002,Essendon,Joe,Misiti,316,Joe Misiti
4003,Essendon,Tony,Delaney,483,Tony Delaney
4004,Essendon,Dustin,Fletcher,304,Dustin Fletcher
4005,Essendon,Ricky,Olarenshaw,276,Ricky Olarenshaw
4006,Essendon,Che,Cockatoo-Collins,328,Che Cockatoo-Collins
4007,Essendon,Ben,Doolan,335,Ben Doolan
4008,Essendon,Dale,Kickett,477,Dale Kickett
4009,Essendon,Robert,Stevenson,345,Robert Stevenson
4010,Essendon,Damien,Hardwick,324,Damien Hardwick
4011,Essendon,Russell,Williams,1229,Russell Williams
4012,Essendon,Ryan,OConnor,327,Ryan OConnor
4013,Essendon,Barry,Young,308,Barry Young
4014,Essendon,Scott,Cummings,315,Scott Cummings
4015,Essendon,Lachlan,Ross,472,Lachlan Ross
4016,Essendon,Michael,Prior,337,Michael Prior
4017,Essendon,Julian,Kirzner,789,Julian Kirzner
4018,Essendon,Tim,Darcy,320,Tim Darcy
4019,Essendon,Shawn,Lewfatt,322,Shawn Lewfatt
4020,Essendon,Mark,Fraser,325,Mark Fraser
4021,Essendon,Gary,Moorcroft,331,Gary Moorcroft
4022,Essendon,Danny,Morgan,334,Danny Morgan
4023,Essendon,Matthew,Lloyd,336,Matthew Lloyd
4024,Essendon,Peter,Berbakov,338,Peter Berbakov
4025,Essendon,Sean,Wellman,10,Sean Wellman
4026,Essendon,Scott,Lucas,339,Scott Lucas
4027,Essendon,Paul,Barnard,340,Paul Barnard
4028,Essendon,Justin,Blumfield,341,Justin Blumfield
4029,Essendon,Andrew,Bomford,342,Andrew Bomford
4030,Essendon,Blake,Caracella,343,Blake Caracella
4031,Essendon,Matthew,Banks,344,Matthew Banks
4032,Essendon,Andrew,Ukovic,288,Andrew Ukovic
4033,Essendon,Jason,Johnson,346,Jason Johnson
4034,Essendon,Chris,Heffernan,347,Chris Heffernan
4035,Essendon,Daniel,McAlister,348,Daniel McAlister
4036,Essendon,Matthew,Watson,349,Matthew Watson
4037,Essendon,Mark,Bolton,350,Mark Bolton
4038,Essendon,Simon,Eastaugh,351,Simon Eastaugh
4039,Essendon,Dean,Solomon,352,Dean Solomon
4040,Essendon,Judd,Lalich,353,Judd Lalich
4041,Essendon,Mark,Johnson,354,Mark Johnson
4042,Essendon,Mark,McVeigh,355,Mark McVeigh
4043,Essendon,Ilija,Grgic,357,Ilija Grgic
4044,Essendon,Dean,Rioli,356,Dean Rioli
4045,Essendon,Adam,Ramanauskas,358,Adam Ramanauskas
4046,Essendon,Danny,Jacobs,359,Danny Jacobs
4047,Essendon,Jonathon,Robran,361,Jonathon Robran
4048,Essendon,Aaron,Henneman,362,Aaron Henneman
4049,Essendon,Robert,Forster-Knight,363,Robert Forster-Knight
4050,Essendon,Damien,Peverill,364,Damien Peverill
4051,Essendon,David,Hille,365,David Hille
4052,Essendon,Cory,McGrath,366,Cory McGrath
4053,Essendon,Marcus,Bullen,367,Marcus Bullen
4054,Essendon,Jordan,Bannister,368,Jordan Bannister
4055,Essendon,Ted,Richards,1119,Ted Richards
4056,Essendon,Joel,Reynolds,1125,Joel Reynolds
4057,Essendon,Shane,Harvey,1138,Shane Harvey
4058,Essendon,Andrew,Welsh,1146,Andrew Welsh
4059,Essendon,James,Davies,1154,James Davies
4060,Essendon,Ken,Hall,1161,Ken Hall
4061,Essendon,Sam,Hunt,1215,Sam Hunt
4062,Essendon,Damian,Cupido,1096,Damian Cupido
4063,Essendon,Adam,McPhee,551,Adam McPhee
4064,Essendon,Darren,Walsh,1439,Darren Walsh
4065,Essendon,Jason,Winderlich,1449,Jason Winderlich
4066,Essendon,Jobe,Watson,1461,Jobe Watson
4067,Essendon,Ben,Haynes,910,Ben Haynes
4068,Essendon,Matthew,Allan,153,Matthew Allan
4069,Essendon,Kepler,Bradley,3937,Kepler Bradley
4070,Essendon,Nathan,Lovett-Murray,3938,Nathan Lovett-Murray
4071,Essendon,Justin,Murphy,167,Justin Murphy
4072,Essendon,Brent,Stanton,3939,Brent Stanton
4073,Essendon,Mark,Alvey,460,Mark Alvey
4074,Essendon,Ricky,Dyson,3957,Ricky Dyson
4075,Essendon,Jason,Laycock,4052,Jason Laycock
4076,Essendon,Angus,Monfries,4061,Angus Monfries
4077,Essendon,Tristan,Cartledge,4070,Tristan Cartledge
4078,Essendon,Ty,Zantuck,909,Ty Zantuck
4079,Essendon,Andrew,Lovett,4076,Andrew Lovett
4080,Essendon,Paul,Thomas,4062,Paul Thomas
4081,Essendon,Henry,Slattery,4123,Henry Slattery
4082,Essendon,Courtney,Johns,4127,Courtney Johns
4083,Essendon,Jay,Nash,4130,Jay Nash
4084,Essendon,Scott,Camporeale,143,Scott Camporeale
4085,Essendon,Patrick,Ryder,4144,Patrick Ryder
4086,Essendon,Courtenay,Dempsey,4173,Courtenay Dempsey
4087,Essendon,Andrew,Lee,4191,Andrew Lee
4088,Essendon,Ben,Jolley,4195,Ben Jolley
4089,Essendon,Sam,Lonergan,4196,Sam Lonergan
